Key,Comment,en,en-GB,de,es,
MUSIC_MESSAGE_REMOTE_PLAYLIST_DELETED,Message saying remote playlist deleted successfully (probably unused),Remote playlist deleted successfully.,Remote playlist deleted successfully.,Remote playlist deleted successfully.,Remote playlist deleted successfully.,
MUSIC_BUTTON_QUEUE,"Music: Button, Add to Queue.",Queue,Queue,Queue,Queue,
AUTH_MESSAGE_WELCOME_MESSAGE,Dialog message informing the user they cannot access the service on this device,Please visit the Cloud website to use this service,Please visit the Cloud website to use this service,Please visit the Cloud website to use this service,Please visit the Cloud website to use this service,
MUSIC_MESSAGE_ERROR_WITH_PLAYLIST_NAME,Alert message when attempting to use an illegal playlist name,Please specify a different playlist name!,Please specify a different playlist name!,Please specify a different playlist name!,Please specify a different playlist name!,
MUSIC_MESSAGE_NO_PLAYLISTS_TO_PUSH,Message displayed when no playlists to push (unused),Playlists push error: there are no playlists to push!,Playlists push error: there are no playlists to push!,Playlists push error: there are no playlists to push!,Playlists push error: there are no playlists to push!,
MUSIC_MESSAGE_PLAYLIST_SAVED,Message when playlist saved (unused),Playlist saved locally and remotely!,Playlist saved locally and remotely!,Playlist saved locally and remotely!,Playlist saved locally and remotely!,
MUSIC_MESSAGE_PLAYLIST_PUSHED_SUCCESS,Message saying playlist pushed ok (possibly unused),Playlist pushed successfully.,Playlist pushed successfully.,Playlist pushed successfully.,Playlist pushed successfully.,
MUSIC_MESSAGE_ERROR_PUSHING_NIL_PLAYLIST,Music: Message 'Playlist push error: nil playlist' (probably not used),Playlist push error: nil playlist!,Playlist push error: nil playlist!,Playlist push error: nil playlist!,Playlist push error: nil playlist!,
MUSIC_ALERT_TITLE_PLAYLIST_NAME,"Music: Alert title, 'Playlist Name'.",Playlist Name,Playlist Name,Playlist Name,Playlist Name,
MUSIC_MESSAGE_PLAYLIST_CREATED,Message on success creating playlist (possibly unused),Playlist created!,Playlist created!,Playlist created!,Playlist created!,
MUSIC_MESSAGE_PLAYLIST_ADDED,Music: Message 'Playlist added successfully.' (probably not used),Playlist added successfully.,Playlist added successfully.,Playlist added successfully.,Playlist added successfully.,
MUSIC_LABEL_PLAYLIST,"Music: Label, 'playlist'.",playlist,playlist,playlist,playlist,
MUSIC_LABEL_PLAYLISTS,"Music: Label, 'Playlists'.",Playlists,Playlists,Playlists,Playlists,
REG_LABEL_PIN,Label text - PIN,PIN,PIN,PIN,PIN,
GENERIC_BUTTON_OK,"Button text, 'OK'",OK,OK,OK,OK,
MUSIC_TITLE_NOW_PLAYING,"Music: Title and button, 'Now Playing'.",Now Playing,Now Playing,Now Playing,Now Playing,
ALBUM_LABEL_NO_VIDEOS_ON_DEVICE,"Album: Label, No videos on this device.",No videos on this device.,No videos on this device.,No videos on this device.,No videos on this device.,
ALBUM_LABEL_NO_PICTURES_OR_VIDEOS_ON_DEVICE,"Album: Label, No pictures or videos on device.",No pictures or videos on this device.,No pictures or videos on this device.,No pictures or videos on this device.,No pictures or videos on this device.,
ALBUM_LABEL_NO_PICTURES_ON_DEVICE,"Album: Label, no pictures in user's photo library.",No pictures on this device.,No pictures on this device.,No pictures on this device.,No pictures on this device.,
UPLOAD_ALERT_MESSAGE_NO_MEDIA_FOUND,"Upload: Alert message, no media files found in local library.",No media found,No media found,No media found,No media found,
ALBUM_LABEL_NO_FILE_SELECTED,"Album: Label, No file selected.",No file selected.,No file selected.,No file selected.,No file selected.,
HOME_BUTTON_ACCESSIBILITY_LABEL_MUSIC,"Home: Button accessibility label, Music.",Music Accessibility Label,Music Accessibility Label,Music Accessibility Label,Music Accessibility Label,
MUSIC_ALERT_MESSAGE_COULD_NOT_DELETE,"Music: Alert message, item could not be deleted.",Item could not be deleted!,Item could not be deleted!,Item could not be deleted!,Item could not be deleted!,
REG_MESSAGE_INTERNAL_ERROR_TITLE,Title for sign up error dialog,Internal Error,Internal Error,Internal Error,Internal Error,
